miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target
hsa-mir-149-5p,hsa-mir-301b-3p,6667,1551,1,0.003,0,0.641,0.4125,0.0585,0.0055
hsa-mir-29b-3p,hsa-mir-29c-3p,3091,19,1,0.001,0.0005,0.0035,0.243,0.796,0.0035
hsa-mir-29b-3p,hsa-mir-29c-3p,3091,1012,1,0.001,0.0005,0.0035,0.0445,0.5035,0.0035
hsa-mir-130a-3p,hsa-mir-429,6667,960,1,0,0.0045,0.0465,0.0835,0.033,0.004
hsa-mir-589-3p,hsa-mir-629-3p,4782,7157,1,0,0,0.0105,0.0915,0.098,0.009
hsa-mir-203a-3p,hsa-mir-429,6935,1468,-1,0.0015,0,0.012,0.0125,0.6945,0.0015
hsa-mir-18a-3p,hsa-mir-19a-3p,4782,1277,1,0,0,0.0005,0.0875,0.2615,0.004
hsa-mir-18a-3p,hsa-mir-18a-5p,4782,7980,1,0,0,0,0.3995,0.158,0.0085
hsa-let-7f-5p,hsa-mir-96-5p,6667,1551,1,0.009,0,0.2615,0.112,0.176,0.009
hsa-mir-183-5p,hsa-mir-96-5p,367,11030,1,0,0,0.0005,0.015,0.13,0.0005
hsa-mir-429,hsa-mir-548b-3p,6667,27430,1,0.0035,0.0015,0.8105,0.0135,0.033,0.0095
hsa-mir-589-3p,hsa-mir-675-3p,367,6595,1,0.009,0.002,0.0155,0.054,0.196,0.004
hsa-mir-589-3p,hsa-mir-675-3p,367,400451,1,0.009,0.002,0.0155,0.0535,0.068,0.0095
hsa-mir-203a-3p,hsa-mir-20a-5p,6925,23505,1,0.0005,0,0.057,0.403,0.0725,0.0015
hsa-let-7g-3p,hsa-mir-33a-5p,27086,26121,-1,0.0005,0,0,0.014,0.0195,0.0095
hsa-mir-130a-3p,hsa-mir-204-5p,6667,5581,-1,0,0.0065,0.1755,0.2465,0.0105,0.0005
hsa-mir-144-3p,hsa-mir-30c-2-3p,7023,3728,1,0.0005,0,0.638,0.0225,0.0135,0.008
hsa-mir-18a-3p,hsa-mir-20a-5p,2115,5129,1,0,0,0.0245,0.0125,0.1245,0.009
hsa-mir-363-3p,hsa-mir-421,1523,23274,1,0,0,0.029,0.666,0.024,0.0075
hsa-mir-130a-3p,hsa-mir-145-5p,3091,7184,1,0.001,0.004,0.1735,0.046,0.033,0.009
hsa-mir-326,hsa-mir-96-5p,367,5970,-1,0,0,0.132,0.357,0.393,0.008
hsa-mir-135b-5p,hsa-mir-429,4609,7150,1,0,0.005,0.036,0.463,0.0965,0.0055
hsa-mir-135b-5p,hsa-mir-429,4609,71,1,0,0.005,0.036,0.159,0.013,0.001
hsa-mir-135b-5p,hsa-mir-429,4609,3308,1,0,0.005,0.036,0.466,0.059,0.0015
hsa-mir-29a-5p,hsa-mir-301a-3p,6925,84441,1,0,0.002,0,0.035,0.018,0.0065
hsa-mir-29a-5p,hsa-mir-301a-3p,6925,4208,1,0,0.002,0,0.0215,0.011,0.0005
hsa-mir-29a-5p,hsa-mir-301a-3p,6925,1124,1,0,0.002,0,0.2015,0.126,0.004
hsa-mir-26b-3p,hsa-mir-629-3p,10499,2186,1,0.0035,0.003,0.123,0.022,0.2965,0.0055
hsa-mir-19a-3p,hsa-mir-93-3p,1385,1958,1,0,0.0085,0.0315,0.0495,0.0505,0.0045
hsa-mir-200a-3p,hsa-mir-203a-3p,6935,1468,-1,0,0.0025,0.005,0.333,0.0155,0.0035
hsa-mir-20a-5p,hsa-mir-29c-3p,6925,79899,1,0,0,0.0285,0.062,0.132,0.009
hsa-mir-196b-5p,hsa-mir-200a-3p,2627,677,1,0.0045,0.0005,0.01,0.0645,0.039,0.0065
hsa-mir-196b-5p,hsa-mir-20a-5p,6774,604,1,0.0075,0,0.2855,0.023,0.024,0.002
hsa-mir-424-5p,hsa-mir-96-5p,6934,8817,1,0,0,0.0025,0.1585,0.0685,0.008
hsa-mir-29a-5p,hsa-mir-29b-3p,3091,6790,1,0.0005,0.0005,0.0045,0.037,0.074,0.002
hsa-mir-29a-5p,hsa-mir-29b-3p,3091,1871,1,0.0005,0.0005,0.0045,0.115,0.052,0
hsa-mir-29a-5p,hsa-mir-29b-3p,3091,1490,1,0.0005,0.0005,0.0045,0.0285,0.0755,0.009
hsa-mir-29c-3p,hsa-mir-34c-5p,4150,126321,1,0,0.0095,0.025,0.197,0.5655,0.0075
hsa-mir-130a-3p,hsa-mir-30a-5p,7528,51107,1,0.003,0.001,0.0325,0.178,0.03,0.0065
hsa-mir-301b-3p,hsa-mir-93-3p,6774,9021,1,0.0015,0.002,0.115,0.083,0.812,0.0015
hsa-mir-301b-3p,hsa-mir-93-3p,6774,4837,1,0.0015,0.002,0.115,0.216,0.061,0
hsa-mir-193b-3p,hsa-mir-301a-3p,6925,120,1,0.006,0.0025,0.7365,0.0365,0.833,0.003
hsa-mir-19a-3p,hsa-mir-33a-5p,10320,4067,1,0.0045,0.0055,0.226,0.0475,0.0265,0.002
hsa-mir-193b-3p,hsa-mir-20a-5p,6925,1124,1,0.0035,0,0.0225,0.0195,0.118,0.0005
hsa-mir-370-3p,hsa-mir-93-3p,27086,57157,-1,0.0035,0,0.2305,0.0335,0.0725,0
hsa-mir-18a-3p,hsa-mir-20b-5p,4782,3725,1,0,0,0.0005,0.086,0.826,0.0055
hsa-mir-505-5p,hsa-mir-939-5p,51341,80725,-1,0.009,0.0065,0.231,0.1655,0.0115,0.007
hsa-mir-130a-3p,hsa-mir-20a-5p,6774,629,1,0,0,0.1125,0.057,0.1195,0.008
hsa-mir-301a-3p,hsa-mir-96-5p,4790,3553,1,0,0,0,0.1095,0.2255,0.0015
hsa-mir-133a-3p,hsa-mir-30c-2-3p,1871,1029,1,0,0,0,0.0175,0.153,0.001
hsa-mir-18a-5p,hsa-mir-19a-3p,2099,3866,1,0.0005,0.008,0.0015,0.417,0.608,0.0085
hsa-mir-20a-5p,hsa-mir-324-5p,3091,8553,1,0.0005,0,0.0305,0.0615,0.1135,0.0075
hsa-mir-193b-3p,hsa-mir-19a-3p,2099,7039,1,0,0.0035,0.309,0.335,0.0305,0.006
hsa-mir-193b-3p,hsa-mir-19a-3p,2099,1393,1,0,0.0035,0.309,0.0125,0.5135,0.0055
hsa-mir-106a-5p,hsa-mir-93-3p,6774,604,1,0.0085,0.0025,0.093,0.119,0.1995,0.0025
hsa-mir-18a-5p,hsa-mir-193b-3p,2099,4322,1,0,0.0005,0.058,0.063,0.0335,0.002
hsa-mir-29c-3p,hsa-mir-30a-5p,4605,8871,1,0,0,0.0285,0.0295,0.0385,0.003
hsa-mir-204-5p,hsa-mir-33a-5p,6667,29117,1,0.006,0,0.5925,0.092,0.9295,0.005
hsa-mir-204-5p,hsa-mir-33a-5p,6667,1027,1,0.006,0,0.5925,0.0455,0.8755,0.005
hsa-mir-20b-5p,hsa-mir-93-3p,1385,2321,1,0.004,0.0095,0.268,0.9755,0.1475,0.0035
hsa-mir-149-5p,hsa-mir-503-5p,6667,1400,-1,0.0035,0.0005,0.095,0.1455,0.944,0.0075
hsa-mir-183-5p,hsa-mir-675-3p,367,6595,1,0,0.001,0.352,0.0125,0.172,0.0065
hsa-mir-301a-3p,hsa-mir-9-5p,4790,3559,1,0,0.0015,0.0985,0.661,0.058,0.002
hsa-mir-106a-5p,hsa-mir-301b-3p,6774,9021,1,0.009,0.001,0.0505,0.775,0.0725,0.0015
hsa-mir-301a-3p,hsa-mir-301b-3p,4790,965,1,0,0,0,0.2115,0.022,0.0015
