miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target
hsa-mir-570-3p,hsa-mir-625-3p,7003,57142,1,0.003,0,0.427,0.384,0.1935,0.001
hsa-mir-1275,hsa-mir-30b-5p,3662,9267,1,0,0,0.015,0.0555,0.908,0.0005
hsa-mir-18a-5p,hsa-mir-18b-5p,2099,6667,1,0,0,0,0.055,0.0895,0.0005
hsa-mir-18a-5p,hsa-mir-18b-5p,2099,5272,1,0,0,0,0.055,0.681,0.008
hsa-mir-18a-5p,hsa-mir-18b-5p,2099,388677,1,0,0,0,0.013,0.014,0.003
hsa-mir-577,hsa-mir-625-3p,7003,8821,1,0,0,0.247,0.1305,0.0245,0.003
hsa-mir-362-5p,hsa-mir-651-5p,639,11009,1,0,0.001,0.5655,0.0925,0.0245,0.009
hsa-mir-210-3p,hsa-mir-30b-5p,4094,79567,1,0.0025,0,0.84,0.027,0.011,0
hsa-mir-19a-3p,hsa-mir-33b-5p,1385,6770,1,0.001,0,0.029,0.019,0.177,0.006
hsa-mir-18a-5p,hsa-mir-940,3091,3098,1,0,0,0.007,0.0145,0.0645,0.0015
hsa-mir-18b-5p,hsa-mir-301a-3p,2099,6595,1,0,0,0.0295,0.0765,0.022,0.0015
hsa-mir-16-1-3p,hsa-mir-570-3p,7003,9462,1,0,0.002,0,0.1565,0.1005,0.0045
hsa-mir-16-1-3p,hsa-mir-570-3p,7003,79026,1,0,0.002,0,0.0305,0.0205,0.0065
hsa-mir-16-1-3p,hsa-mir-570-3p,7003,6453,1,0,0.002,0,0.183,0.126,0.002
hsa-mir-16-1-3p,hsa-mir-570-3p,7003,158471,1,0,0.002,0,0.017,0.1825,0
hsa-mir-30c-1-3p,hsa-mir-589-3p,367,9766,1,0.0015,0,0.2095,0.0115,0.0345,0.0085
hsa-mir-18a-5p,hsa-mir-301a-3p,2099,607,1,0,0,0,0.1085,0.4925,0.008
hsa-mir-18a-5p,hsa-mir-301a-3p,2099,284565,1,0,0,0,0.419,0.228,0.002
hsa-mir-339-5p,hsa-mir-345-5p,3662,8837,1,0,0,0.0035,0.154,0.0135,0.0025
hsa-mir-30b-5p,hsa-mir-339-5p,3662,22806,1,0,0,0,0.026,0.0205,0
hsa-mir-203a-3p,hsa-mir-33a-3p,5090,4134,1,0,0.001,0.013,0.0215,0.056,0.0015
hsa-mir-153-3p,hsa-mir-203a-3p,6591,642273,-1,0.004,0.001,0.4955,0.073,0.1985,0.0075
hsa-mir-20a-3p,hsa-mir-499a-5p,6664,1756,1,0.0025,0.001,0.1775,0.1,0.0185,0.007
