"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna2_tf","mirna1mirna2_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target"
"hsa-mir-18a-5p","hsa-mir-424-5p",6774,"STAT3",3479,"IGF1",1,5e-04,0.004,0.225,0.0115,0.451,0.0035
"hsa-mir-130a-3p","hsa-mir-93-3p",6774,"STAT3",3479,"IGF1",1,0,0.0015,0.0015,0.051,0.0175,0.003
"hsa-mir-301a-3p","hsa-mir-301b-3p",6774,"STAT3",3479,"IGF1",1,0.0015,0,0.0425,0.014,0.0725,5e-04
"hsa-mir-301a-3p","hsa-mir-301b-3p",4790,"NFKB1",3553,"IL1B",1,0,0,0,0.121,0.081,0
"hsa-mir-301a-3p","hsa-mir-96-5p",4790,"NFKB1",3553,"IL1B",1,0,0,0,0.1095,0.2255,0.0015
"hsa-mir-301a-3p","hsa-mir-9-5p",4790,"NFKB1",3559,"IL2RA",1,0,0.0015,0.0985,0.661,0.058,0.002
"hsa-mir-130a-3p","hsa-mir-301a-3p",6667,"SP1",3673,"ITGA2",1,0,0,0.364,0.1665,0.0855,0
"hsa-mir-301b-3p","hsa-mir-429",6667,"SP1",3673,"ITGA2",1,0,0.004,0.191,0.0265,0.027,0.0075
"hsa-mir-18a-3p","hsa-mir-20b-5p",4782,"NFIC",3725,"JUN",1,0,0,5e-04,0.086,0.826,0.0055
"hsa-mir-144-3p","hsa-mir-30c-2-3p",7023,"TFAP4",3728,"JUP",1,5e-04,0,0.638,0.0225,0.0135,0.008
"hsa-mir-18a-5p","hsa-mir-19a-3p",2099,"ESR1",3866,"KRT15",1,5e-04,0.008,0.0015,0.417,0.608,0.0085
"hsa-mir-338-5p","hsa-mir-548v",7020,"TFAP2A",3897,"L1CAM",1,0.002,0.0095,0.1005,0.1155,0.0105,0.009
"hsa-mir-199a-5p","hsa-mir-324-5p",2113,"ETS1",4057,"LTF",1,0.0025,0.003,5e-04,0.214,0.7505,0.0055
"hsa-mir-19a-3p","hsa-mir-33a-5p",10320,"IKZF1",4067,"LYN",1,0.0045,0.0055,0.226,0.0475,0.0265,0.002
"hsa-mir-29a-5p","hsa-mir-301a-3p",6925,"TCF4",4208,"MEF2C",1,0,0.002,0,0.0215,0.011,5e-04
"hsa-mir-18a-5p","hsa-mir-193b-3p",2099,"ESR1",4322,"MMP13",1,0,5e-04,0.058,0.063,0.0335,0.002
"hsa-let-7c-5p","hsa-mir-30a-5p",1820,"ARID3A",4335,"MNT",1,0,0.004,0,0.2245,0.593,0
"hsa-mir-18a-5p","hsa-mir-20a-5p",6774,"STAT3",4582,"MUC1",1,0.001,0,0.118,0.116,0.4355,0.001
"hsa-mir-106a-5p","hsa-mir-18a-5p",6774,"STAT3",4582,"MUC1",1,0.008,5e-04,0.0055,0.3465,0.1325,0.0035
"hsa-mir-33a-5p","hsa-mir-503-5p",6667,"SP1",4790,"NFKB1",1,0,0,0.268,0.0195,0.109,0.0025
"hsa-mir-301b-3p","hsa-mir-93-3p",6774,"STAT3",4837,"NNMT",1,0.0015,0.002,0.115,0.216,0.061,0
"hsa-mir-18a-3p","hsa-mir-20a-5p",2115,"ETV1",5129,"CDK18",1,0,0,0.0245,0.0125,0.1245,0.009
"hsa-mir-130a-3p","hsa-mir-301a-3p",4790,"NFKB1",5284,"PIGR",1,5e-04,0,0.001,0.1245,0.5385,0.009
"hsa-mir-130a-3p","hsa-mir-204-5p",6667,"SP1",5581,"PRKCE",-1,0,0.0065,0.1755,0.2465,0.0105,5e-04
"hsa-mir-29a-5p","hsa-mir-93-3p",1997,"ELF1",5583,"PRKCH",1,5e-04,0,5e-04,0.0825,0.023,0.0075
"hsa-mir-326","hsa-mir-96-5p",367,"AR",5970,"RELA",-1,0,0,0.132,0.357,0.393,0.008
"hsa-mir-301a-3p","hsa-mir-301b-3p",4790,"NFKB1",6347,"CCL2",1,0,0,0,0.173,0.03,0
"hsa-mir-130a-3p","hsa-mir-301b-3p",4790,"NFKB1",6351,"CCL4",1,5e-04,0,0.006,0.145,0.3685,0.0095
"hsa-mir-183-5p","hsa-mir-675-3p",367,"AR",6595,"SMARCA2",1,0,0.001,0.352,0.0125,0.172,0.0065
"hsa-mir-589-3p","hsa-mir-675-3p",367,"AR",6595,"SMARCA2",1,0.009,0.002,0.0155,0.054,0.196,0.004
"hsa-mir-29a-5p","hsa-mir-29b-3p",3091,"HIF1A",6790,"AURKA",1,5e-04,5e-04,0.0045,0.037,0.074,0.002
"hsa-mir-193b-3p","hsa-mir-19a-3p",2099,"ESR1",7039,"TGFA",1,0,0.0035,0.309,0.335,0.0305,0.006
"hsa-mir-29b-3p","hsa-mir-429",6667,"SP1",7048,"TGFBR2",1,0.0015,0.0065,0.2995,0.169,0.0555,0
"hsa-mir-301a-3p","hsa-mir-301b-3p",4790,"NFKB1",7124,"TNF",1,0,0,0,0.012,0.0315,0
"hsa-mir-135b-5p","hsa-mir-429",4609,"MYC",7150,"TOP1",1,0,0.005,0.036,0.463,0.0965,0.0055
"hsa-mir-589-3p","hsa-mir-629-3p",4782,"NFIC",7157,"TP53",1,0,0,0.0105,0.0915,0.098,0.009
"hsa-mir-130a-3p","hsa-mir-145-5p",3091,"HIF1A",7184,"HSP90B1",1,0.001,0.004,0.1735,0.046,0.033,0.009
"hsa-mir-130a-3p","hsa-mir-29b-3p",6667,"SP1",7402,"UTRN",1,0,0.0045,0.393,0.7015,0.0115,0.0015
"hsa-let-7a-2-3p","hsa-mir-629-3p",5451,"POU2F1",7412,"VCAM1",-1,0,0,0,0.016,0.478,0.002
"hsa-let-7a-2-3p","hsa-let-7g-3p",5451,"POU2F1",7412,"VCAM1",-1,0,5e-04,0,0.021,0.375,0.003
"hsa-mir-204-5p","hsa-mir-503-5p",6667,"SP1",7528,"YY1",1,0.0065,0,0.505,0.0285,0.016,0
"hsa-mir-29a-5p","hsa-mir-324-5p",3091,"HIF1A",7852,"CXCR4",1,5e-04,5e-04,0.0455,0.4955,0.6175,0.0035
"hsa-mir-18a-3p","hsa-mir-18a-5p",4782,"NFIC",7980,"TFPI2",1,0,0,0,0.3995,0.158,0.0085
"hsa-mir-1-3p","hsa-mir-30c-2-3p",4150,"MAZ",8525,"DGKZ",1,0,0,0,0.0115,0.2845,0.009
"hsa-mir-20a-5p","hsa-mir-324-5p",3091,"HIF1A",8553,"BHLHE40",1,5e-04,0,0.0305,0.0615,0.1135,0.0075
"hsa-mir-324-5p","hsa-mir-429",3091,"HIF1A",8553,"BHLHE40",1,5e-04,0,0.0085,0.1095,0.0635,0.007
"hsa-mir-130a-3p","hsa-mir-324-5p",3091,"HIF1A",8553,"BHLHE40",1,0.001,5e-04,0.3805,0.311,0.138,0.0035
"hsa-mir-33a-5p","hsa-mir-503-5p",6667,"SP1",8740,"TNFSF14",1,0,0,0.268,0.1475,0.236,0.002
"hsa-mir-424-5p","hsa-mir-96-5p",6934,"TCF7L2",8817,"FGF18",1,0,0,0.0025,0.1585,0.0685,0.008
"hsa-mir-29c-3p","hsa-mir-30a-5p",4605,"MYBL2",8871,"SYNJ2",1,0,0,0.0285,0.0295,0.0385,0.003
"hsa-mir-301b-3p","hsa-mir-93-3p",6774,"STAT3",9021,"SOCS3",1,0.0015,0.002,0.115,0.083,0.812,0.0015
"hsa-mir-106a-5p","hsa-mir-301b-3p",6774,"STAT3",9021,"SOCS3",1,0.009,0.001,0.0505,0.775,0.0725,0.0015
"hsa-mir-20b-5p","hsa-mir-363-3p",1523,"CUX1",9779,"TBC1D5",1,0,0,0.0145,0.03,0.279,0.006
